id,Zone,Element,Unit,Value
AFG,Afghanistan,Import Quantity,tonnes,28937
AFG,Afghanistan,Import Value,1000 US$,28934
AFG,Afghanistan,Export Quantity,tonnes,37
AFG,Afghanistan,Export Value,1000 US$,31
ALB,Albania,Import Quantity,tonnes,17515
ALB,Albania,Import Value,1000 US$,16481
DZA,Algeria,Import Quantity,tonnes,2
DZA,Algeria,Import Value,1000 US$,2
AGO,Angola,Import Quantity,tonnes,265888
AGO,Angola,Import Value,1000 US$,298200
AGO,Angola,Export Quantity,tonnes,0
AGO,Angola,Export Value,1000 US$,0
ATG,Antigua and Barbuda,Import Quantity,tonnes,6144
ATG,Antigua and Barbuda,Import Value,1000 US$,11927
ATG,Antigua and Barbuda,Export Quantity,tonnes,8
ATG,Antigua and Barbuda,Export Value,1000 US$,15
ARG,Argentina,Import Quantity,tonnes,2097
ARG,Argentina,Import Value,1000 US$,3891
ARG,Argentina,Export Quantity,tonnes,204099
ARG,Argentina,Export Value,1000 US$,285244
ARM,Armenia,Import Quantity,tonnes,34419
ARM,Armenia,Import Value,1000 US$,39238
AUS,Australia,Import Quantity,tonnes,3043
AUS,Australia,Import Value,1000 US$,13560
AUS,Australia,Export Quantity,tonnes,38284
AUS,Australia,Export Value,1000 US$,46957
AUT,Austria,Import Quantity,tonnes,45022
AUT,Austria,Import Value,1000 US$,152854
AUT,Austria,Export Quantity,tonnes,38057
AUT,Austria,Export Value,1000 US$,132684
AZE,Azerbaijan,Import Quantity,tonnes,23717
AZE,Azerbaijan,Import Value,1000 US$,29922
AZE,Azerbaijan,Export Quantity,tonnes,69
AZE,Azerbaijan,Export Value,1000 US$,99
BHS,Bahamas,Import Quantity,tonnes,5088
BHS,Bahamas,Import Value,1000 US$,37214
BHR,Bahrain,Import Quantity,tonnes,50133
BHR,Bahrain,Import Value,1000 US$,98096
BHR,Bahrain,Export Quantity,tonnes,377
BHR,Bahrain,Export Value,1000 US$,836
BGD,Bangladesh,Import Quantity,tonnes,167
BGD,Bangladesh,Import Value,1000 US$,118
BGD,Bangladesh,Export Quantity,tonnes,1
BGD,Bangladesh,Export Value,1000 US$,5
BRB,Barbados,Import Quantity,tonnes,562
BRB,Barbados,Import Value,1000 US$,1858
BRB,Barbados,Export Quantity,tonnes,86
BRB,Barbados,Export Value,1000 US$,302
BLR,Belarus,Import Quantity,tonnes,17840
BLR,Belarus,Import Value,1000 US$,11833
BLR,Belarus,Export Quantity,tonnes,148968
BLR,Belarus,Export Value,1000 US$,220350
BEL,Belgium,Import Quantity,tonnes,212149
BEL,Belgium,Import Value,1000 US$,329934
BEL,Belgium,Export Quantity,tonnes,542999
BEL,Belgium,Export Value,1000 US$,880087
BLZ,Belize,Import Quantity,tonnes,3
BLZ,Belize,Import Value,1000 US$,4
BLZ,Belize,Export Quantity,tonnes,0
BLZ,Belize,Export Value,1000 US$,0
BEN,Benin,Import Quantity,tonnes,70849
BEN,Benin,Import Value,1000 US$,63240
BEN,Benin,Export Quantity,tonnes,5
BEN,Benin,Export Value,1000 US$,18048
BTN,Bhutan,Import Quantity,tonnes,1298
BTN,Bhutan,Import Value,1000 US$,1683
BOL,Bolivia (Plurinational State of),Import Quantity,tonnes,690
BOL,Bolivia (Plurinational State of),Import Value,1000 US$,645
BOL,Bolivia (Plurinational State of),Export Quantity,tonnes,848
BOL,Bolivia (Plurinational State of),Export Value,1000 US$,1147
BIH,Bosnia and Herzegovina,Import Quantity,tonnes,7409
BIH,Bosnia and Herzegovina,Import Value,1000 US$,7109
BIH,Bosnia and Herzegovina,Export Quantity,tonnes,4217
BIH,Bosnia and Herzegovina,Export Value,1000 US$,5901
BWA,Botswana,Import Quantity,tonnes,2231
BWA,Botswana,Import Value,1000 US$,2723
BWA,Botswana,Export Quantity,tonnes,4
BWA,Botswana,Export Value,1000 US$,20
BRA,Brazil,Import Quantity,tonnes,3306
BRA,Brazil,Import Value,1000 US$,8320
BRA,Brazil,Export Quantity,tonnes,3944215
BRA,Brazil,Export Value,1000 US$,6427893
BRN,Brunei Darussalam,Import Quantity,tonnes,1486
BRN,Brunei Darussalam,Import Value,1000 US$,2956
BGR,Bulgaria,Import Quantity,tonnes,96121
BGR,Bulgaria,Import Value,1000 US$,105200
BGR,Bulgaria,Export Quantity,tonnes,30005
BGR,Bulgaria,Export Value,1000 US$,72561
BFA,Burkina Faso,Import Quantity,tonnes,75
BFA,Burkina Faso,Import Value,1000 US$,68
BDI,Burundi,Import Quantity,tonnes,4
BDI,Burundi,Import Value,1000 US$,8
CPV,Cabo Verde,Import Quantity,tonnes,10731
CPV,Cabo Verde,Import Value,1000 US$,12406
KHM,Cambodia,Import Quantity,tonnes,8129
KHM,Cambodia,Import Value,1000 US$,13596
CMR,Cameroon,Import Quantity,tonnes,9
CMR,Cameroon,Import Value,1000 US$,32
CAN,Canada,Import Quantity,tonnes,143243
CAN,Canada,Import Value,1000 US$,338542
CAN,Canada,Export Quantity,tonnes,103470
CAN,Canada,Export Value,1000 US$,162553
CAF,Central African Republic,Import Quantity,tonnes,4570
CAF,Central African Republic,Import Value,1000 US$,3641
TCD,Chad,Import Quantity,tonnes,601
TCD,Chad,Import Value,1000 US$,1040
CHL,Chile,Import Quantity,tonnes,130216
CHL,Chile,Import Value,1000 US$,176644
CHL,Chile,Export Quantity,tonnes,82759
CHL,Chile,Export Value,1000 US$,233702
CHN,China,Import Quantity,tonnes,1362318
CHN,China,Import Value,1000 US$,2535974
CHN,China,Export Quantity,tonnes,690871
CHN,China,Export Value,1000 US$,1285268
HKG,"China, Hong Kong SAR",Import Quantity,tonnes,736108
HKG,"China, Hong Kong SAR",Import Value,1000 US$,1296629
HKG,"China, Hong Kong SAR",Export Quantity,tonnes,490253
HKG,"China, Hong Kong SAR",Export Value,1000 US$,833068
MAC,"China, Macao SAR",Import Quantity,tonnes,18300
MAC,"China, Macao SAR",Import Value,1000 US$,56523
MAC,"China, Macao SAR",Export Quantity,tonnes,71
MAC,"China, Macao SAR",Export Value,1000 US$,141
F41,"China, mainland",Import Quantity,tonnes,450411
F41,"China, mainland",Import Value,1000 US$,1027766
F41,"China, mainland",Export Quantity,tonnes,194390
F41,"China, mainland",Export Value,1000 US$,446095
TWN,"China, Taiwan Province of",Import Quantity,tonnes,157499
TWN,"China, Taiwan Province of",Import Value,1000 US$,155056
TWN,"China, Taiwan Province of",Export Quantity,tonnes,6157
TWN,"China, Taiwan Province of",Export Value,1000 US$,5964
COL,Colombia,Import Quantity,tonnes,54123
COL,Colombia,Import Value,1000 US$,56779
COL,Colombia,Export Quantity,tonnes,2235
COL,Colombia,Export Value,1000 US$,2460
COM,Comoros,Import Quantity,tonnes,13661
COM,Comoros,Import Value,1000 US$,16081
COM,Comoros,Export Quantity,tonnes,0
COM,Comoros,Export Value,1000 US$,0
COG,Congo,Import Quantity,tonnes,94170
COG,Congo,Import Value,1000 US$,107482
COG,Congo,Export Quantity,tonnes,121
COG,Congo,Export Value,1000 US$,35
COK,Cook Islands,Import Quantity,tonnes,1506
COK,Cook Islands,Import Value,1000 US$,2378
CRI,Costa Rica,Import Quantity,tonnes,12189
CRI,Costa Rica,Import Value,1000 US$,19579
CRI,Costa Rica,Export Quantity,tonnes,597
CRI,Costa Rica,Export Value,1000 US$,1123
CIV,C?te d'Ivoire,Import Quantity,tonnes,183
CIV,C?te d'Ivoire,Import Value,1000 US$,325
CIV,C?te d'Ivoire,Export Quantity,tonnes,16
CIV,C?te d'Ivoire,Export Value,1000 US$,72
HRV,Croatia,Import Quantity,tonnes,13307
HRV,Croatia,Import Value,1000 US$,32834
HRV,Croatia,Export Quantity,tonnes,6293
HRV,Croatia,Export Value,1000 US$,12221
CUB,Cuba,Import Quantity,tonnes,307421
CUB,Cuba,Import Value,1000 US$,291805
CUB,Cuba,Export Quantity,tonnes,
CUB,Cuba,Export Value,1000 US$,
CYP,Cyprus,Import Quantity,tonnes,9641
CYP,Cyprus,Import Value,1000 US$,24238
CYP,Cyprus,Export Quantity,tonnes,813
CYP,Cyprus,Export Value,1000 US$,540
CZE,Czechia,Import Quantity,tonnes,81880
CZE,Czechia,Import Value,1000 US$,176925
CZE,Czechia,Export Quantity,tonnes,18453
CZE,Czechia,Export Value,1000 US$,46306
PRK,Democratic People's Republic of Korea,Import Quantity,tonnes,
PRK,Democratic People's Republic of Korea,Import Value,1000 US$,
PRK,Democratic People's Republic of Korea,Export Quantity,tonnes,0
PRK,Democratic People's Republic of Korea,Export Value,1000 US$,0
COD,Democratic Republic of the Congo,Import Quantity,tonnes,95327
COD,Democratic Republic of the Congo,Import Value,1000 US$,102314
COD,Democratic Republic of the Congo,Export Quantity,tonnes,90
COD,Democratic Republic of the Congo,Export Value,1000 US$,7
DNK,Denmark,Import Quantity,tonnes,33812
DNK,Denmark,Import Value,1000 US$,104755
DNK,Denmark,Export Quantity,tonnes,73950
DNK,Denmark,Export Value,1000 US$,136979
DJI,Djibouti,Import Quantity,tonnes,2578
DJI,Djibouti,Import Value,1000 US$,4488
DMA,Dominica,Import Quantity,tonnes,3772
DMA,Dominica,Import Value,1000 US$,5862
DMA,Dominica,Export Quantity,tonnes,1
DMA,Dominica,Export Value,1000 US$,1
DOM,Dominican Republic,Import Quantity,tonnes,7843
DOM,Dominican Republic,Import Value,1000 US$,20392
DOM,Dominican Republic,Export Quantity,tonnes,5428
DOM,Dominican Republic,Export Value,1000 US$,3651
EGY,Egypt,Import Quantity,tonnes,92646
EGY,Egypt,Import Value,1000 US$,155327
EGY,Egypt,Export Quantity,tonnes,221
EGY,Egypt,Export Value,1000 US$,599
SLV,El Salvador,Import Quantity,tonnes,10525
SLV,El Salvador,Import Value,1000 US$,14284
SLV,El Salvador,Export Quantity,tonnes,1765
SLV,El Salvador,Export Value,1000 US$,1886
GNQ,Equatorial Guinea,Import Quantity,tonnes,18645
GNQ,Equatorial Guinea,Import Value,1000 US$,22630
GNQ,Equatorial Guinea,Export Quantity,tonnes,
GNQ,Equatorial Guinea,Export Value,1000 US$,
ERI,Eritrea,Import Quantity,tonnes,2
ERI,Eritrea,Import Value,1000 US$,3
EST,Estonia,Import Quantity,tonnes,14818
EST,Estonia,Import Value,1000 US$,25750
EST,Estonia,Export Quantity,tonnes,5271
EST,Estonia,Export Value,1000 US$,9729
SWZ,Eswatini,Import Quantity,tonnes,1331
SWZ,Eswatini,Import Value,1000 US$,1449
SWZ,Eswatini,Export Quantity,tonnes,137
SWZ,Eswatini,Export Value,1000 US$,226
ETH,Ethiopia,Import Quantity,tonnes,177
ETH,Ethiopia,Import Value,1000 US$,205
FRO,Faroe Islands,Import Quantity,tonnes,361
FRO,Faroe Islands,Import Value,1000 US$,1241
FJI,Fiji,Import Quantity,tonnes,2362
FJI,Fiji,Import Value,1000 US$,4197
FJI,Fiji,Export Quantity,tonnes,287
FJI,Fiji,Export Value,1000 US$,969
FIN,Finland,Import Quantity,tonnes,5433
FIN,Finland,Import Value,1000 US$,21172
FIN,Finland,Export Quantity,tonnes,9585
FIN,Finland,Export Value,1000 US$,9567
FRA,France,Import Quantity,tonnes,374076
FRA,France,Import Value,1000 US$,950370
FRA,France,Export Quantity,tonnes,300124
FRA,France,Export Value,1000 US$,535617
PYF,French Polynesia,Import Quantity,tonnes,14001
PYF,French Polynesia,Import Value,1000 US$,20215
PYF,French Polynesia,Export Quantity,tonnes,4
PYF,French Polynesia,Export Value,1000 US$,37
GAB,Gabon,Import Quantity,tonnes,61275
GAB,Gabon,Import Value,1000 US$,66319
GMB,Gambia,Import Quantity,tonnes,15985
GMB,Gambia,Import Value,1000 US$,6363
GEO,Georgia,Import Quantity,tonnes,47883
GEO,Georgia,Import Value,1000 US$,59923
GEO,Georgia,Export Quantity,tonnes,5256
GEO,Georgia,Export Value,1000 US$,5587
DEU,Germany,Import Quantity,tonnes,474951
DEU,Germany,Import Value,1000 US$,1101592
DEU,Germany,Export Quantity,tonnes,300561
DEU,Germany,Export Value,1000 US$,629582
GHA,Ghana,Import Quantity,tonnes,147538
GHA,Ghana,Import Value,1000 US$,119978
GHA,Ghana,Export Quantity,tonnes,0
GHA,Ghana,Export Value,1000 US$,0
GRC,Greece,Import Quantity,tonnes,53291
GRC,Greece,Import Value,1000 US$,111071
GRC,Greece,Export Quantity,tonnes,25284
GRC,Greece,Export Value,1000 US$,25927
GRD,Grenada,Import Quantity,tonnes,6024
GRD,Grenada,Import Value,1000 US$,9721
GTM,Guatemala,Import Quantity,tonnes,123620
GTM,Guatemala,Import Value,1000 US$,103853
GTM,Guatemala,Export Quantity,tonnes,2054
GTM,Guatemala,Export Value,1000 US$,3287
GIN,Guinea,Import Quantity,tonnes,31501
GIN,Guinea,Import Value,1000 US$,32746
GNB,Guinea-Bissau,Import Quantity,tonnes,4206
GNB,Guinea-Bissau,Import Value,1000 US$,4735
GUY,Guyana,Import Quantity,tonnes,81
GUY,Guyana,Import Value,1000 US$,77
GUY,Guyana,Export Quantity,tonnes,0
GUY,Guyana,Export Value,1000 US$,0
HTI,Haiti,Import Quantity,tonnes,85498
HTI,Haiti,Import Value,1000 US$,77080
HND,Honduras,Import Quantity,tonnes,8775
HND,Honduras,Import Value,1000 US$,8769
HND,Honduras,Export Quantity,tonnes,408
HND,Honduras,Export Value,1000 US$,500
HUN,Hungary,Import Quantity,tonnes,37588
HUN,Hungary,Import Value,1000 US$,72300
HUN,Hungary,Export Quantity,tonnes,87599
HUN,Hungary,Export Value,1000 US$,156449
ISL,Iceland,Import Quantity,tonnes,1207
ISL,Iceland,Import Value,1000 US$,4239
ISL,Iceland,Export Quantity,tonnes,0
ISL,Iceland,Export Value,1000 US$,1
IND,India,Import Quantity,tonnes,18
IND,India,Import Value,1000 US$,76
IND,India,Export Quantity,tonnes,3646
IND,India,Export Value,1000 US$,4038
IDN,Indonesia,Import Quantity,tonnes,0
IDN,Indonesia,Import Value,1000 US$,0
IDN,Indonesia,Export Quantity,tonnes,0
IDN,Indonesia,Export Value,1000 US$,4
IRN,Iran (Islamic Republic of),Import Quantity,tonnes,5556
IRN,Iran (Islamic Republic of),Import Value,1000 US$,7939
IRN,Iran (Islamic Republic of),Export Quantity,tonnes,45398
IRN,Iran (Islamic Republic of),Export Value,1000 US$,35427
IRQ,Iraq,Import Quantity,tonnes,361904
IRQ,Iraq,Import Value,1000 US$,313250
IRQ,Iraq,Export Quantity,tonnes,244
IRQ,Iraq,Export Value,1000 US$,383
IRL,Ireland,Import Quantity,tonnes,70413
IRL,Ireland,Import Value,1000 US$,258792
IRL,Ireland,Export Quantity,tonnes,63801
IRL,Ireland,Export Value,1000 US$,73870
ISR,Israel,Export Quantity,tonnes,81
ISR,Israel,Export Value,1000 US$,61
ITA,Italy,Import Quantity,tonnes,51247
ITA,Italy,Import Value,1000 US$,105677
ITA,Italy,Export Quantity,tonnes,91435
ITA,Italy,Export Value,1000 US$,190254
JAM,Jamaica,Import Quantity,tonnes,22856
JAM,Jamaica,Import Value,1000 US$,15818
JAM,Jamaica,Export Quantity,tonnes,783
JAM,Jamaica,Export Value,1000 US$,3256
JPN,Japan,Import Quantity,tonnes,569477
JPN,Japan,Import Value,1000 US$,1345726
JPN,Japan,Export Quantity,tonnes,10004
JPN,Japan,Export Value,1000 US$,17621
JOR,Jordan,Import Quantity,tonnes,52808
JOR,Jordan,Import Value,1000 US$,81416
JOR,Jordan,Export Quantity,tonnes,7502
JOR,Jordan,Export Value,1000 US$,18876
KAZ,Kazakhstan,Import Quantity,tonnes,168861
KAZ,Kazakhstan,Import Value,1000 US$,143872
KAZ,Kazakhstan,Export Quantity,tonnes,2972
KAZ,Kazakhstan,Export Value,1000 US$,3777
KEN,Kenya,Import Quantity,tonnes,75
KEN,Kenya,Import Value,1000 US$,293
KEN,Kenya,Export Quantity,tonnes,22
KEN,Kenya,Export Value,1000 US$,83
KIR,Kiribati,Import Quantity,tonnes,1185
KIR,Kiribati,Import Value,1000 US$,2380
KWT,Kuwait,Import Quantity,tonnes,131028
KWT,Kuwait,Import Value,1000 US$,271768
KWT,Kuwait,Export Quantity,tonnes,3381
KWT,Kuwait,Export Value,1000 US$,8520
KGZ,Kyrgyzstan,Import Quantity,tonnes,23142
KGZ,Kyrgyzstan,Import Value,1000 US$,28868
